SP,SPEC,CONF,COMMONNAME,SCINAME,SPEC6,CONF6,LANDBIRD
,GBMG,,Green-breasted Mountain-gem,Lampornis sybillae,LAMSYB,,TRUE
,ATMG,,Amethyst-throated Mountain-gem,Lampornis amethystinus,LAMAME,,TRUE
,BTMG,,Blue-throated Mountain-gem,Lampornis clemenciae,LAMCLE,,TRUE
,WBMG,,White-bellied Mountain-gem,Lampornis hemileucus,LAMHEM,,TRUE
,PTMG,,Purple-throated Mountain-gem,Lampornis calolaemus,LAMCAL,,TRUE
,WTMG,,White-throated Mountain-gem,Lampornis castaneoventris,LAMCAS,,TRUE
,GATH,*,Garnet-throated Hummingbird,Lamprolaima rhami,LAMRHA,,TRUE
,MTWO,,Magenta-throated Woodstar,Calliphlox bryantae,CALBRY,,TRUE
,PTWO,,Purple-throated Woodstar,Calliphlox mitchellii,CALMIT,,TRUE
,SLSH,,Slender Sheartail,Doricha enicura,DORENI,,TRUE
,MESH,,Mexican Sheartail,Doricha eliza,DORELI,,TRUE
,SKTH,*,Sparkling-tailed Hummingbird,Tilmatura dupontii,TILDUP,,TRUE
,LUHU,,Lucifer Hummingbird,Calothorax lucifer,CALLUC,,TRUE
,BEAH,*,Beautiful Hummingbird,Calothorax pulcher,CALPUL,,TRUE
,RTHU,,Ruby-throated Hummingbird,Archilochus colubris,ARCCOL,,TRUE
,BCHU,,Black-chinned Hummingbird,Archilochus alexandri,ARCALE,,TRUE
,VEHU,,Vervain Hummingbird,Mellisuga minima,MELMIN,,TRUE
,BEEH,*,Bee Hummingbird,Mellisuga helenae,MELHEL,,TRUE
,BAWO,,Bahama Woodstar,Nesophlox evelynae,NESEVE,,TRUE
,INWO,,Inagua Woodstar,Nesophlox lyrura,NESLYR,,TRUE
,ANHU,,Anna's Hummingbird,Calypte anna,CALANN,,TRUE
+,ACHH,,Anna's x Costa's Hummingbird Hybrid,Calypte anna x costae,CALANC,,TRUE
,COHU,,Costa's Hummingbird,Calypte costae,CALCOS,,TRUE
,CAHU,,Calliope Hummingbird,Selasphorus calliope,SELCAL,,TRUE
,RUHU,,Rufous Hummingbird,Selasphorus rufus,SELRUF,,TRUE
+,RAHH,,Rufous x Allen's Hummingbird Hybrid,Selasphorus rufus x sasin,SELRUS,,TRUE
,ALHU,,Allen's Hummingbird,Selasphorus sasin,SELSAS,,TRUE
,BTHU,,Broad-tailed Hummingbird,Selasphorus platycercus,SELPLA,,TRUE
,BUHU,,Bumblebee Hummingbird,Selasphorus heloisa,SELHEL,,TRUE
,WTHH,*,Wine-throated Hummingbird,Selasphorus ellioti,SELELL,,TRUE
,VOHU,,Volcano Hummingbird,Selasphorus flammula,SELFLA,,TRUE
,SCHU,,Scintillant Hummingbird,Selasphorus scintilla,SELSCI,,TRUE
,GLTH,*,Glow-throated Hummingbird,Selasphorus ardens,SELARD,,TRUE
+,USHU,,Unidentified Selasphorus Hummingbird,Selaphorus (sp),SELSPS,*,TRUE
,DUHU,,Dusky Hummingbird,Phaeoptila sordida,PHASOR,,TRUE
,CUEM,,Cuban Emerald,Riccordia ricordii,RICRIC,,TRUE
,BREM,,Brace's Emerald,Riccordia bracei,RICBRA,,TRUE
,HIEM,,Hispaniolan Emerald,Riccordia swainsonii,RICSWA,,TRUE
,PREM,,Puerto Rican Emerald,Riccordia maugaeus,RICMAU,,TRUE
,BHHU,,Blue-headed Hummingbird,Riccordia bicolor,RICBIC,,TRUE
,BBIH,*,Broad-billed Hummingbird,Cynanthus latirostris,CYNLAT,,TRUE
,GCEM,,Golden-crowned Emerald,Cynanthus auriceps,CYNAUR,,TRUE
,COEM,,Cozumel Emerald,Cynanthus forficatus,CYNFOR,,TRUE
,CAEM,,Canivet's Emerald,Cynanthus canivetii,CYNCAN,,TRUE
,GAEM,,Garden Emerald,Chlorostilbon assimilis,CHLASS,,TRUE
,WEHU,,White-eared Hummingbird,Basilinna leucotis,BASLEU,,TRUE
,XAHU,,Xantus's Hummingbird,Basilinna xantusii,BASXAN,,TRUE
,WTSA,,Wedge-tailed Sabrewing,Pampa curvipennis,PAMCUR,,TRUE
,LTSA,,Long-tailed Sabrewing,Pampa excellens,PAMEXC,,TRUE
,RUSA,,Rufous Sabrewing,Pampa rufa,PAMRUF,,TRUE
,ECHU,,Emerald-chinned Hummingbird,Abeillia abeillei,ABEABE,,TRUE
,VHHU,,Violet-headed Hummingbird,Klais guimeti,KLAGUI,,TRUE
,ANCH,*,Antillean Crested Hummingbird,Orthorhyncus cristatus,ORTCRI,,TRUE
,VISA,,Violet Sabrewing,Campylopterus hemileucurus,CAMHEM,,TRUE
,BTPL,,Bronze-tailed Plumeleteer,Chalybura urochrysia,CHAURO,,TRUE
,WVPL,,White-vented Plumeleteer,Chalybura buffonii,CHABUF,,TRUE
,CRWO,,Crowned Woodnymph,Thalurania colombica,THACOL,,TRUE
,SNOC,*,Snowcap,Microchera albocoronata,MICALB,,TRUE
,CHEM,,Coppery-headed Emerald,Microchera cupreiceps,MICCUP,,TRUE
,WTEM,,White-tailed Emerald,Microchera chionura,MICCHI,,TRUE
,VCAH,*,Violet-capped Hummingbird,Goldmania violiceps,GOLVIO,,TRUE
,PIHU,,Pirre Hummingbird,Goldmania bella,GOLBEL,,TRUE
,MEWO,,Mexican Woodnymph,Eupherusa ridgwayi,EUPRID,,TRUE
,WTAH,*,White-tailed Hummingbird,Eupherusa poliocerca,EUPPOL,,TRUE
,BCAH,*,Blue-capped Hummingbird,Eupherusa cyanophrys,EUPCYP,*,TRUE
,STHM,*,Stripe-tailed Hummingbird,Eupherusa eximia,EUPEXI,,TRUE
,BLBH,*,Black-bellied Hummingbird,Eupherusa nigriventris,EUPNIG,,TRUE
,SBRH,*,Scaly-breasted Hummingbird,Phaeochroa cuvierii,PHACUV,,TRUE
,STRM,*,Streamertail,Trochilus polytmus,TROPOL,,TRUE
,VCHU,,Violet-crowned Hummingbird,Leucolia violiceps,LEUVIO,,TRUE
,GFHU,,Green-fronted Hummingbird,Leucolia viridifrons,LEUVIF,*,TRUE
,AZCH,*,Azure-crowned Hummingbird,Saucerottia cyanocephala,SAUCYC,*,TRUE
,BVHU,,Blue-vented Hummingbird,Saucerottia hoffmanni,SAUHOF,,TRUE
,BEHU,,Berylline Hummingbird,Saucerottia beryllina,SAUBER,,TRUE
,BTAH,*,Blue-tailed Hummingbird,Saucerottia cyanura,SAUCYR,*,TRUE
,SBEH,*,Snowy-bellied Hummingbird,Saucerottia edward,SAUEDW,,TRUE
,CIHU,,Cinnamon Hummingbird,Amazilia rutila,AMARUT,,TRUE
,BBEH,*,Buff-bellied Hummingbird,Amazilia yucatanensis,AMAYUC,,TRUE
,RTAH,*,Rufous-tailed Hummingbird,Amazilia tzacatl,AMATZA,,TRUE
,HOEM,,Honduran Emerald,Amazilia luciae,AMALUC,,TRUE
,MAHU,,Mangrove Hummingbird,Amazilia boucardi,AMABOU,,TRUE
,SHTH,*,Sapphire-throated Hummingbird,Chrysuronia coeruleogularis,CHYCOE,,TRUE
,HUSA,,Humboldt's Sapphire,Chrysuronia humboldtii,CHRHUM,,TRUE
,BCHH,*,Blue-chested Hummingbird,Polyerata amabilis,POLAMA,,TRUE
,CHHU,,Charming Hummingbird,Polyerata decora,POLDEC,,TRUE
,WBEM,,White-bellied Emerald,Chlorestes candida,CHLCAN,,TRUE
,BTRG,*,Blue-throated Goldentail,Chlorestes eliciae,CHLELI,,TRUE
,VBHU,,Violet-bellied Hummingbird,Chlorestes julie,CHLJUL,,TRUE
+,UNHU,,Unidentified Hummingbird,"Trochilidae (gen, sp)",TRCGSP,*,TRUE
,COLC,*,Colombian Crake,Neocrex colombiana,NEOCOL,,FALSE
,PBCR,,Paint-billed Crake,Neocrex erythrops,NEOERY,,FALSE
,ZARA,,Zapata Rail,Cyanolimnas cerverai,CYACER,,FALSE
,SPRA,,Spotted Rail,Pardirallus maculatus,PARMAS,*,FALSE
,UNIC,*,Uniform Crake,Amaurolimnas concolor,AMLCON,*,FALSE
,RNWR,,Rufous-necked Wood-Rail,Aramides axillaris,ARAAXI,,FALSE
,RSWR,*,Russet-naped Wood-Rail,Aramides albiventris,ARAALB,,FALSE
,GCWR,,Gray-cowled Wood-Rail,Aramides cajaneus,ARACAJ,,FALSE
,RIRA,,Ridgway's Rail,Rallus obsoletus,RALOBS,,FALSE
,CLRA,,Clapper Rail,Rallus crepitans,RALCRE,,FALSE
,AZRA,,Aztec Rail,Rallus tenuirostris,RALTEN,,FALSE
,MARA,,Mangrove Rail,Rallus longirostris,RALLON,,FALSE
,KIRA,,King Rail,Rallus elegans,RALELE,,FALSE
,VIRA,,Virginia Rail,Rallus limicola,RALLIM,,FALSE
,WEWR,,Western Water-Rail,Rallus aquaticus,RALAQU,,FALSE
,CORC,*,Corn Crake,Crex crex,CRECRE,,FALSE
,SORA,,Sora,Porzana carolina,PORCAR,,FALSE
,SPCR,,Spotted Crake,Porzana porzana,PORPOZ,*,FALSE
,COGA,,Common Gallinule,Gallinula galeata,GALGAT,*,FALSE
+,HAGA,,Hawaiian Gallinule,Gallinula gallinula sandvicensis,GALGSA,,FALSE
,COMO,,Common Moorhen,Gallinula chloropus,GALCHL,,FALSE
,EUCO,,Eurasian Coot,Fulica atra,FULATR,,FALSE
,HACO,,Hawaiian Coot,Fulica alai,FULALA,,FALSE
,AMCO,,American Coot,Fulica americana,FULAME,,FALSE
,PUGA,,Purple Gallinule,Porphyrio martinicus,PORMAR,,FALSE
,AZGA,,Azure Gallinule,Porphyrio flavirostris,PORFLA,,FALSE
,PUSW,,Purple Swamphen,Porphyrio porphyrio,PORPOP,*,FALSE
,OCCR,,Ocellated Crake,Micropygia schomburgkii,MICSCH,,FALSE
,YERA,,Yellow Rail,Coturnicops noveboracensis,COTNOV,,FALSE
,YBCR,,Yellow-breasted Crake,Hapalocrex flaviventer,HAPFLA,,FALSE
,RUCR,,Ruddy Crake,Laterallus ruber,LATRUB,,FALSE
,WTCR,,White-throated Crake,Laterallus albigularis,LATALB,,FALSE
,GBCR,,Gray-breasted Crake,Laterallus exilis,LATEXI,,FALSE
,BLRA,,Black Rail,Laterallus jamaicensis,LATJAM,,FALSE
,LARA,,Laysan Rail,Zapornia palmeri,ZAPPAL,,FALSE
,HARA,,Hawaiian Rail,Zapornia sandwichensis,ZAPSAN,,FALSE
,SUNG,,Sungrebe,Heliornis fulica,HELFUL,,FALSE
,LIMP,,Limpkin,Aramus guarauna,ARAGUA,,FALSE
,SACR,,Sandhill Crane,Antigone canadensis,ANTCAN,,TRUE
,CCRA,*,Common Crane,Grus grus,GRUGRU,,TRUE
,WHCR,,Whooping Crane,Grus americana,GRUAME,,TRUE
,DSTK,,Double-striped Thick-knee,Burhinus bistriatus,BURBIS,,FALSE
,BWST,,Black-winged Stilt,Himantopus himantopus,HIMHIM,,FALSE
,BNST,,Black-necked Stilt,Himantopus mexicanus,HIMMEX,,FALSE
+,HAST,,Hawaiian Stilt,Himantopus mexicanus knudseni,HIMMKN,,FALSE
,AMAV,,American Avocet,Recurvirostra americana,RECAME,,FALSE
,EUOY,,Eurasian Oystercatcher,Haematopus ostralegus,HAEOST,,FALSE
,AMOY,,American Oystercatcher,Haematopus palliatus,HAEPAL,,FALSE
,BLOY,,Black Oystercatcher,Haematopus bachmani,HAEBAC,,FALSE
,NOLA,,Northern Lapwing,Vanellus vanellus,VANVAN,,FALSE
,SOLA,,Southern Lapwing,Vanellus chilensis,VANCHI,,FALSE
,BBPL,,Black-bellied Plover,Pluvialis squatarola,PLUSQU,,FALSE
,EUGP,,European Golden-Plover,Pluvialis apricaria,PLUAPR,,FALSE
,AMGP,,American Golden-Plover,Pluvialis dominica,PLUDOM,,FALSE
+,LEGP,,Lesser Golden-Plover,Pluvialis dominica/fulva,PLUDOF,,FALSE
,PAGP,,Pacific Golden-Plover,Pluvialis fulva,PLUFUL,,FALSE
,EUDO,,Eurasian Dotterel,Charadrius morinellus,CHAMOR,,FALSE
,KILL,,Killdeer,Charadrius vociferus,CHAVOC,,FALSE
,CRPL,,Common Ringed Plover,Charadrius hiaticula,CHAHIA,,FALSE
,SEPL,,Semipalmated Plover,Charadrius semipalmatus,CHASEM,,FALSE
,PIPL,,Piping Plover,Charadrius melodus,CHAMEL,,FALSE
,LRPL,,Little Ringed Plover,Charadrius dubius,CHADUB,,FALSE
,LSAP,*,Lesser Sand-Plover,Charadrius mongolus,CHAMOG,*,FALSE
,GSAP,*,Greater Sand-Plover,Charadrius leschenaultii,CHALES,,FALSE
,ORPL,,Oriental Plover,Charadrius veredus,CHAVER,,FALSE
,WIPL,,Wilson's Plover,Charadrius wilsonia,CHAWIL,,FALSE
,COPL,,Collared Plover,Charadrius collaris,CHACOL,,FALSE
,MOPL,,Mountain Plover,Charadrius montanus,CHAMOT,*,FALSE
,SNPL,,Snowy Plover,Charadrius nivosus,CHANIV,,FALSE
,NOJA,,Northern Jacana,Jacana spinosa,JACSPI,,FALSE
,WAJA,,Wattled Jacana,Jacana jacana,JACJAC,,FALSE
,UPSA,,Upland Sandpiper,Bartramia longicauda,BARLON,,FALSE
,BTCU,,Bristle-thighed Curlew,Numenius tahitiensis,NUMTAH,,FALSE
,WHIM,,Whimbrel,Numenius phaeopus,NUMPHA,,FALSE
,LICU,,Little Curlew,Numenius minutus,NUMMIN,,FALSE
,ESCU,,Eskimo Curlew,Numenius borealis,NUMBOR,,FALSE
,LBCU,,Long-billed Curlew,Numenius americanus,NUMAME,,FALSE
,FECU,,Far Eastern Curlew,Numenius madagascariensis,NUMMAD,,FALSE
,SBCU,,Slender-billed Curlew,Numenius tenuirostris,NUMTEN,,FALSE
,EUCU,,Eurasian Curlew,Numenius arquata,NUMARQ,,FALSE
,BTGO,,Bar-tailed Godwit,Limosa lapponica,LIMLAP,,FALSE
,BLTG,*,Black-tailed Godwit,Limosa limosa,LIMLIM,,FALSE
,HUGO,,Hudsonian Godwit,Limosa haemastica,LIMHAE,,FALSE
,MAGO,,Marbled Godwit,Limosa fedoa,LIMFED,,FALSE
,RUTU,,Ruddy Turnstone,Arenaria interpres,AREINT,,FALSE
,BLTU,,Black Turnstone,Arenaria melanocephala,AREMEL,,FALSE
,GRKN,,Great Knot,Calidris tenuirostris,CALTEN,,FALSE
,REKN,,Red Knot,Calidris canutus,CALCAN,,FALSE
,SURF,,Surfbird,Calidris virgata,CALVIR,,FALSE
,RUFF,,Ruff,Calidris pugnax,CALPUG,,FALSE
,BBIS,*,Broad-billed Sandpiper,Calidris falcinellus,CALFAL,,FALSE
,SPTS,*,Sharp-tailed Sandpiper,Calidris acuminata,CALACU,,FALSE
,STSA,,Stilt Sandpiper,Calidris himantopus,CALHIM,,FALSE
,CUSA,,Curlew Sandpiper,Calidris ferruginea,CALFER,,FALSE
,TEST,,Temminck's Stint,Calidris temminckii,CALTEM,,FALSE
,LTST,,Long-toed Stint,Calidris subminuta,CALSUM,*,FALSE
,SBSA,,Spoon-billed Sandpiper,Calidris pygmea,CALPYG,,FALSE
,RNST,,Red-necked Stint,Calidris ruficollis,CALRUF,,FALSE
,SAND,,Sanderling,Calidris alba,CALALB,,FALSE
,DUNL,,Dunlin,Calidris alpina,CALALP,,FALSE
,ROSA,,Rock Sandpiper,Calidris ptilocnemis,CALPTI,,FALSE
,PUSA,,Purple Sandpiper,Calidris maritima,CALMAR,,FALSE
,BASA,,Baird's Sandpiper,Calidris bairdii,CALBAI,,FALSE
,LIST,,Little Stint,Calidris minuta,CALMIA,*,FALSE
,LESA,,Least Sandpiper,Calidris minutilla,CALMIL,*,FALSE
,WRSA,,White-rumped Sandpiper,Calidris fuscicollis,CALFUS,,FALSE
,BBSA,,Buff-breasted Sandpiper,Calidris subruficollis,CALSUR,*,FALSE
,PESA,,Pectoral Sandpiper,Calidris melanotos,CALMET,*,FALSE
,SESA,,Semipalmated Sandpiper,Calidris pusilla,CALPUS,,FALSE
,WESA,,Western Sandpiper,Calidris mauri,CALMAU,,FALSE
,SBDO,,Short-billed Dowitcher,Limnodromus griseus,LIMGRI,,FALSE
,LBDO,,Long-billed Dowitcher,Limnodromus scolopaceus,LIMSCO,,FALSE
+,UNDO,,Unidentified Dowitcher,Limnodromus sp.,LIMSPE,,FALSE
,JASN,,Jack Snipe,Lymnocryptes minimus,LYMMIN,,FALSE
,EUWO,,Eurasian Woodcock,Scolopax rusticola,SCORUS,,FALSE
,AMWO,,American Woodcock,Scolopax minor,SCOMIN,,FALSE
,SOSN,,Solitary Snipe,Gallinago solitaria,GALSOL,,FALSE
,PTSN,,Pin-tailed Snipe,Gallinago stenura,GALSTE,,FALSE
,COSN,,Common Snipe,Gallinago gallinago,GALGAN,*,FALSE
,WISN,,Wilson's Snipe,Gallinago delicata,GALDEL,,FALSE
,TESA,,Terek Sandpiper,Xenus cinereus,XENCIN,,FALSE
,COSA,,Common Sandpiper,Actitis hypoleucos,ACTHYP,,FALSE
,SPSA,,Spotted Sandpiper,Actitis macularius,ACTMAC,,FALSE
,GRSA,,Green Sandpiper,Tringa ochropus,TRIOCH,,FALSE
,SOSA,,Solitary Sandpiper,Tringa solitaria,TRISOL,,FALSE
,GTTA,,Gray-tailed Tattler,Tringa brevipes,TRIBRE,,FALSE
,WATA,,Wandering Tattler,Tringa incana,TRIINC,,FALSE
,LEYE,,Lesser Yellowlegs,Tringa flavipes,TRIFLA,,FALSE
,WILL,,Willet,Tringa semipalmata,TRISEM,,FALSE
,SPRE,,Spotted Redshank,Tringa erythropus,TRIERY,,FALSE
,COMG,*,Common Greenshank,Tringa nebularia,TRINEB,,FALSE
,GRYE,,Greater Yellowlegs,Tringa melanoleuca,TRIMEL,,FALSE
,CREH,*,Common Redshank,Tringa totanus,TRITOT,,FALSE
,WOSA,,Wood Sandpiper,Tringa glareola,TRIGLA,,FALSE
,MASA,,Marsh Sandpiper,Tringa stagnatilis,TRISTA,,FALSE
,WIPH,,Wilson's Phalarope,Phalaropus tricolor,PHATRI,,FALSE
,RNPH,,Red-necked Phalarope,Phalaropus lobatus,PHALOB,,FALSE
,REPH,,Red Phalarope,Phalaropus fulicarius,PHAFUL,,FALSE
,COPR,,Collared Pratincole,Glareola pratincola,GLAPRA,,FALSE
,ORPR,,Oriental Pratincole,Glareola maldivarum,GLAMAL,,FALSE
,GRSK,,Great Skua,Stercorarius skua,STESKU,,FALSE
,SPSK,,South Polar Skua,Stercorarius maccormicki,STEMAC,,FALSE
,POJA,,Pomarine Jaeger,Stercorarius pomarinus,STEPOM,,FALSE
,PAJA,,Parasitic Jaeger,Stercorarius parasiticus,STEPAS,*,FALSE
,LTJA,,Long-tailed Jaeger,Stercorarius longicaudus,STELON,,FALSE
,DOVE,,Dovekie,Alle alle,ALLALL,,FALSE
,COMU,,Common Murre,Uria aalge,URIAAL,,FALSE
,TBMU,,Thick-billed Murre,Uria lomvia,URILOM,,FALSE
,RAZO,,Razorbill,Alca torda,ALCTOR,,FALSE
,GRAU,,Great Auk,Pinguinus impennis,PINIMP,,FALSE
,BLGU,,Black Guillemot,Cepphus grylle,CEPGRY,,FALSE
,PIGU,,Pigeon Guillemot,Cepphus columba,CEPCOL,,FALSE
,LBMU,,Long-billed Murrelet,Brachyramphus perdix,BRAPER,,FALSE
,MAMU,,Marbled Murrelet,Brachyramphus marmoratus,BRAMAR,,FALSE
,KIMU,,Kittlitz's Murrelet,Brachyramphus brevirostris,BRABRE,,FALSE
,SCMU,,Scripps's Murrelet,Synthliboramphus scrippsi,SYNSCR,,FALSE
,GUMU,,Guadalupe Murrelet,Synthliboramphus hypoleucus,SYNHYP,,FALSE
,CRMU,,Craveri's Murrelet,Synthliboramphus craveri,SYNCRA,,FALSE
,ANMU,,Ancient Murrelet,Synthliboramphus antiquus,SYNANT,,FALSE
,CAAU,,Cassin's Auklet,Ptychoramphus aleuticus,PTYALE,,FALSE
,PAAU,,Parakeet Auklet,Aethia psittacula,AETPSI,,FALSE
,LEAU,,Least Auklet,Aethia pusilla,AETPUS,,FALSE
,WHAU,,Whiskered Auklet,Aethia pygmaea,AETPYG,,FALSE
,CRAU,,Crested Auklet,Aethia cristatella,AETCRI,,FALSE
,RHAU,,Rhinoceros Auklet,Cerorhinca monocerata,CERMON,,FALSE
,ATPU,,Atlantic Puffin,Fratercula arctica,FRAARC,,FALSE
,HOPU,,Horned Puffin,Fratercula corniculata,FRACOR,,FALSE
,TUPU,,Tufted Puffin,Fratercula cirrhata,FRACIR,,FALSE
,STGU,,Swallow-tailed Gull,Creagrus furcatus,CREFUR,,FALSE
,BLKI,,Black-legged Kittiwake,Rissa tridactyla,RISTRI,,FALSE
,RLKI,,Red-legged Kittiwake,Rissa brevirostris,RISBRE,,FALSE
,IVGU,,Ivory Gull,Pagophila eburnea,PAGEBU,,FALSE
,SAGU,,Sabine's Gull,Xema sabini,XEMSAB,,FALSE
,BOGU,,Bonaparte's Gull,Chroicocephalus philadelphia,CHRPHI,,FALSE
,GHGU,,Gray-hooded Gull,Chroicocephalus cirrocephalus,CHRCIR,,FALSE
,BHGU,,Black-headed Gull,Chroicocephalus ridibundus,CHRRID,,FALSE
,LIGU,,Little Gull,Hydrocoloeus minutus,HYDMIN,,FALSE
,ROGU,,Ross's Gull,Rhodostethia rosea,RHSROS,*,FALSE
,GRGU,,Gray Gull,Leucophaeus modestus,LEUMOD,,FALSE
,LAGU,,Laughing Gull,Leucophaeus atricilla,LEUATC,*,FALSE
,FRGU,,Franklin's Gull,Leucophaeus pipixcan,LEUPIP,,FALSE
,BEGU,,Belcher's Gull,Larus belcheri,LARBEL,,FALSE
,BTGU,,Black-tailed Gull,Larus crassirostris,LARCRA,,FALSE
,HEEG,*,Heermann's Gull,Larus heermanni,LARHEE,,FALSE
,MEGU,,Mew Gull,Larus canus,LARCAN,,FALSE
,RBGU,,Ring-billed Gull,Larus delawarensis,LARDEL,,FALSE
,WEGU,,Western Gull,Larus occidentalis,LAROCC,,FALSE
+,WGWH,,Western X Glaucous-winged Gull Hybrid,Larus occidentalis x glaucescens,LAROCG,,FALSE
,YFGU,,Yellow-footed Gull,Larus livens,LARLIV,,FALSE
,CAGU,,California Gull,Larus californicus,LARCAL,,FALSE
,HERG,*,Herring Gull,Larus argentatus,LARARG,,FALSE
,YLGU,,Yellow-legged Gull,Larus michahellis,LARMIC,,FALSE
,ICGU,,Iceland Gull,Larus glaucoides,LARGLD,*,FALSE
+,THGU,,Thayer's Gull,Larus glaucoides thayeri,LARGTH,,FALSE
+,TKGU,,Thayer's/Kumlien's Gull,Larus glaucoides thayeri/kumleini,LARGTK,,FALSE
+,KUGU,,Kumlien's Gull,Larus glaucoides kumleini,LARGKU,,FALSE
,LBBG,,Lesser Black-backed Gull,Larus fuscus,LARFUS,,FALSE
,SBGU,,Slaty-backed Gull,Larus schistisagus,LARSCH,,FALSE
,GWGU,,Glaucous-winged Gull,Larus glaucescens,LARGLS,*,FALSE
,GLGU,,Glaucous Gull,Larus hyperboreus,LARHYP,,FALSE
,GBBG,,Great Black-backed Gull,Larus marinus,LARMAR,,FALSE
,KEGU,,Kelp Gull,Larus dominicanus,LARDOM,,FALSE
+,UNLG,,Unidentified Larus Gull,Larus (sp),LARSPE,,FALSE
,BRNO,,Brown Noddy,Anous stolidus,ANOSTO,,FALSE
,BLNO,,Black Noddy,Anous minutus,ANOMIN,,FALSE
,BGNO,,Blue-gray Noddy,Anous ceruleus,ANOCER,,FALSE
,WHTT,*,White Tern,Gygis alba,GYGALB,,FALSE
,SOTE,,Sooty Tern,Onychoprion fuscatus,ONYFUS,,FALSE
,GBAT,*,Gray-backed Tern,Onychoprion lunatus,ONYLUN,,FALSE
,BRTE,,Bridled Tern,Onychoprion anaethetus,ONYANA,,FALSE
,ALTE,,Aleutian Tern,Onychoprion aleuticus,ONYALE,,FALSE
,LITE,,Little Tern,Sternula albifrons,STEALB,,FALSE
,LETE,,Least Tern,Sternula antillarum,STEANT,,FALSE
,YBTE,,Yellow-billed Tern,Sternula superciliaris,STESUP,,FALSE
,LBTE,,Large-billed Tern,Phaetusa simplex,PHASIM,,FALSE
,GBTE,,Gull-billed Tern,Gelochelidon nilotica,GELNIL,,FALSE
,CATE,,Caspian Tern,Hydroprogne caspia,HYDCAP,*,FALSE
,INTE,,Inca Tern,Larosterna inca,LARINC,,FALSE
,BLTE,,Black Tern,Chlidonias niger,CHLNIG,,FALSE
,WWTE,,White-winged Tern,Chlidonias leucopterus,CHLLEU,,FALSE
,WHST,*,Whiskered Tern,Chlidonias hybrida,CHLHYB,,FALSE
,ROST,*,Roseate Tern,Sterna dougallii,STEDOU,,FALSE
,COTE,,Common Tern,Sterna hirundo,STEHIR,,FALSE
,ARTE,,Arctic Tern,Sterna paradisaea,STEPAD,*,FALSE
,FOTE,,Forster's Tern,Sterna forsteri,STEFOR,,FALSE
,ROYT,*,Royal Tern,Thalasseus maximus,THAMAX,,FALSE
,GCTE,,Great Crested Tern,Thalasseus bergii,THABER,,FALSE
,SATE,,Sandwich Tern,Thalasseus sandvicensis,THASAN,,FALSE
,ELTE,,Elegant Tern,Thalasseus elegans,THAELE,,FALSE
,BLSK,,Black Skimmer,Rynchops niger,RYNNIG,,FALSE
,SUNB,,Sunbittern,Eurypyga helias,EURHEL,,FALSE
,WTTR,,White-tailed Tropicbird,Phaethon lepturus,PHALEP,,FALSE
,RBTR,,Red-billed Tropicbird,Phaethon aethereus,PHAAET,,FALSE
,RTTR,,Red-tailed Tropicbird,Phaethon rubricauda,PHARUB,,FALSE
,RTLO,,Red-throated Loon,Gavia stellata,GAVSTE,,FALSE
,ARLO,,Arctic Loon,Gavia arctica,GAVARC,,FALSE
,PALO,,Pacific Loon,Gavia pacifica,GAVPAC,,FALSE
,COLO,,Common Loon,Gavia immer,GAVIMM,,FALSE
,YBLO,,Yellow-billed Loon,Gavia adamsii,GAVADA,,FALSE
,YNAL,,Yellow-nosed Albatross,Thalassarche chlororhynchos,THACHL,,FALSE
,WCAL,,White-capped Albatross,Thalassarche cauta,THACAU,,FALSE
,CHAL,,Chatham Albatross,Thalassarche eremita,THAERE,,FALSE
,SAAL,,Salvin's Albatross,Thalassarche salvini,THASAL,,FALSE
,BBAL,,Black-browed Albatross,Thalassarche melanophris,THAMEL,,FALSE
,LMAL,,Light-mantled Albatross,Phoebetria palpebrata,PHOPAL,,FALSE
,WAAL,,Wandering Albatross,Diomedea exulans,DIOEXU,,FALSE
,LAAL,,Laysan Albatross,Phoebastria immutabilis,PHOIMM,,FALSE
+,LBFH,,Laysan X Black-foot. Albatross Hybrid,Phoebastria immutabilis x nigripes,PHOIMN,,FALSE
,BFAL,,Black-footed Albatross,Phoebastria nigripes,PHONIG,,FALSE
,WAVA,*,Waved Albatross,Phoebastria irrorata,PHOIRR,,FALSE
,STAL,,Short-tailed Albatross,Phoebastria albatrus,PHOALB,,FALSE
,WISP,,Wilson's Storm-Petrel,Oceanites oceanicus,OCEOCE,,FALSE
,WFSP,,White-faced Storm-Petrel,Pelagodroma marina,PELMAR,,FALSE
,BBSP,,Black-bellied Storm-Petrel,Fregetta tropica,FRETRO,,FALSE
,EUSP,,European Storm-Petrel,Hydrobates pelagicus,HYDPEL,,FALSE
,FTSP,,Fork-tailed Storm-Petrel,Hydrobates furcatus,HYDFUR,,FALSE
,RISP,,Ringed Storm-Petrel,Hydrobates hornbyi,HYDHOR,,FALSE
,SSTP,*,Swinhoe's Storm-Petrel,Hydrobates monorhis,HYDMON,,FALSE
,LESP,,Leach's Storm-Petrel,Hydrobates leucorhous,HYDLEU,,FALSE
,TOSP,,Townsend's Storm-Petrel,Hydrobates socorroensis,HYDSOC,,FALSE
,AISP,,Ainley's Storm-Petrel,Hydrobates cheimomnestes,HYDCHE,,FALSE
,ASSP,,Ashy Storm-Petrel,Hydrobates homochroa,HYDHOM,,FALSE
